@RELATION emlak_train

@ATTRIBUTE il {Canakkale,bilinmiyor}
@ATTRIBUTE ilce {Bozcaada,Gelibolu,Gokceada,Merkez,Yenice,bilinmiyor}
@ATTRIBUTE mahalle {Alaeddin_Mah.,Alaybey_Mh.,Barbaros_Mah.,Camiikebir_Mah.,Cevat_Pasa_Mh.,Cinarli_Mh.,Cumhuriyet_Mah.,Diger_Mahalle,Erenkoy_Koyu,Esenler_Mah.,Eski_Yenice_Mah.,Fatih_Mah.,Ismetpasa_Mh.,Karacaoren_Koyu,Kepez_Bld.,Kislalar_Mh.,Kurtulus_Mh.,Kuzulimani_Mh.,Sirinkoy_Koyu,Tepekoy_Koyu,Ugurlu_Koyu,Yazicizade_Mh.,Yeni_Mh.,Zeytinli_Koyu}
@ATTRIBUTE emlak_tipi {Satilik,bilinmiyor}
@ATTRIBUTE bina_yasi_raw {0_Oturuma_Hazir,0_Yapim_Asamasinda,1,11_15_arasi,16_20_arasi,2,21_25_arasi,26_30_arasi,3,31_ve_uzeri,4,5,6_10_arasi,bilinmiyor}
@ATTRIBUTE bulundugu_kat_raw {1,2,3,4,5,6,7,8,9,Bahce_Kati,Bilinmiyor,Cati_Kati,Giris_Kati,Mustakil,Villa_Tipi,Yuksek_Giris,Zemin_Kat,bilinmiyor}
@ATTRIBUTE isitma_raw {Dogalgaz_Sobasi,Elektrikli_Radyator,Isi_Pompasi,Kat_Kaloriferi,Klima,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Merkezi_Pay_Olcer,Soba,Somine,Yerden_Isitma,Yok,bilinmiyor}
@ATTRIBUTE isitma_ana_sinif {Dogalgaz_Sobasi,Elektrikli_Radyator,Isi_Pompasi,Kat_Kaloriferi,Klima,Kombi_Dogalgaz,Kombi_Elektrik,Merkezi,Soba,Somine,Yerden_Isitma,Yok,bilinmiyor}
@ATTRIBUTE mutfak_raw {Acik_Amerikan,Bilinmiyor,Kapali,bilinmiyor}
@ATTRIBUTE metrekare_brut NUMERIC
@ATTRIBUTE metrekare_net NUMERIC
@ATTRIBUTE oda_sayisi NUMERIC
@ATTRIBUTE bina_yasi_numeric NUMERIC
@ATTRIBUTE bina_yasi_ordinal NUMERIC
@ATTRIBUTE bulundugu_kat_no NUMERIC
@ATTRIBUTE bulundugu_kat_ordinal NUMERIC
@ATTRIBUTE kat_sayisi NUMERIC
@ATTRIBUTE isitma_score NUMERIC
@ATTRIBUTE banyo_sayisi NUMERIC
@ATTRIBUTE mutfak_acik_mi NUMERIC
@ATTRIBUTE balkon {yok,var}
@ATTRIBUTE asansor {yok,var}
@ATTRIBUTE otopark {yok,var}
@ATTRIBUTE esyali {yok,var}
@ATTRIBUTE guvenlik_skoru NUMERIC
@ATTRIBUTE luks_skoru NUMERIC
@ATTRIBUTE sosyal_skoru NUMERIC
@ATTRIBUTE lokasyon_skoru NUMERIC
@ATTRIBUTE fiyat_kategorisi {100_250_Milyon_TL_Arasi,10_15_Milyon_TL_Arasi,15_25_Milyon_TL_Arasi,1_1_Bucuk_Milyon_TL_Arasi,1_Bucuk_2_Milyon_TL_Arasi,25_50_Milyon_TL_Arasi,2_3_Milyon_TL_Arasi,3_4_Milyon_TL_Arasi,4_5_Milyon_TL_Arasi,50_100_Milyon_TL_Arasi,5_7_Bucuk_Milyon_TL_Arasi,7_Bucuk_10_Milyon_TL_Arasi}

@DATA
Canakkale,Merkez,Barbaros_Mah.,Satilik,6_10_arasi,3,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,260.0,223.0,6.0,8.0,3.0,3.0,5.0,3.0,5.0,2.0,0.0,var,var,yok,yok,0.0,1.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Gokceada,Kuzulimani_Mh.,Satilik,0_Oturuma_Hazir,Zemin_Kat,Soba,Soba,Acik_Amerikan,52.0,40.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,var,yok,var,yok,0.0,0.0,0.0,1.0,4_5_Milyon_TL_Arasi
Canakkale,Bozcaada,Cumhuriyet_Mah.,Satilik,16_20_arasi,Bilinmiyor,Soba,Soba,Acik_Amerikan,100.0,90.0,3.0,16.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,var,yok,yok,var,0.0,1.0,0.0,1.0,10_15_Milyon_TL_Arasi
Canakkale,Bozcaada,Cumhuriyet_Mah.,Satilik,31_ve_uzeri,Bilinmiyor,Isi_Pompasi,Isi_Pompasi,Kapali,160.0,135.0,9.0,30.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,yok,yok,yok,var,0.0,0.0,3.0,6.0,25_50_Milyon_TL_Arasi
Canakkale,Bozcaada,Cumhuriyet_Mah.,Satilik,11_15_arasi,Bilinmiyor,Klima,Klima,Acik_Amerikan,110.0,83.0,4.0,13.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,var,yok,yok,yok,0.0,0.0,0.0,1.0,15_25_Milyon_TL_Arasi
Canakkale,Gokceada,Kuzulimani_Mh.,Satilik,6_10_arasi,2,Isi_Pompasi,Isi_Pompasi,Acik_Amerikan,150.0,130.0,4.0,8.0,3.0,2.0,5.0,2.0,0.0,2.0,1.0,var,yok,var,yok,0.0,0.0,1.0,0.0,4_5_Milyon_TL_Arasi
Canakkale,Gokceada,Yeni_Mh.,Satilik,4,Bahce_Kati,Klima,Klima,Acik_Amerikan,110.0,100.0,3.0,4.0,4.0,0.0,4.0,3.0,3.0,1.0,1.0,var,yok,var,var,0.0,0.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Merkez,Erenkoy_Koyu,Satilik,16_20_arasi,Yuksek_Giris,Kat_Kaloriferi,Kat_Kaloriferi,Kapali,140.0,120.0,4.0,16.0,2.0,0.0,4.0,7.0,4.0,1.0,0.0,var,var,var,yok,2.0,0.0,3.0,4.0,3_4_Milyon_TL_Arasi
Canakkale,Yenice,Eski_Yenice_Mah.,Satilik,0_Oturuma_Hazir,Zemin_Kat,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,64.0,50.0,2.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,0.0,var,var,var,yok,0.0,0.0,0.0,0.0,2_3_Milyon_TL_Arasi
Canakkale,Merkez,Karacaoren_Koyu,Satilik,0_Oturuma_Hazir,2,Merkezi_Pay_Olcer,Merkezi,Kapali,119.0,92.0,4.0,0.0,0.0,2.0,5.0,7.0,5.0,2.0,0.0,var,var,var,yok,0.0,0.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Gokceada,Kuzulimani_Mh.,Satilik,1,1,Merkezi,Merkezi,Acik_Amerikan,100.0,85.0,3.0,1.0,4.0,1.0,5.0,3.0,4.0,2.0,1.0,var,yok,var,yok,6.0,6.0,7.0,17.0,4_5_Milyon_TL_Arasi
Canakkale,Merkez,Karacaoren_Koyu,Satilik,0_Oturuma_Hazir,1,Yerden_Isitma,Yerden_Isitma,Kapali,125.0,110.0,4.0,0.0,0.0,1.0,5.0,8.0,5.0,2.0,0.0,var,var,var,yok,4.0,3.0,6.0,2.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Bozcaada,Cumhuriyet_Mah.,Satilik,31_ve_uzeri,Bilinmiyor,Klima,Klima,Acik_Amerikan,55.0,50.0,3.0,30.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,yok,yok,yok,var,0.0,0.0,2.0,0.0,10_15_Milyon_TL_Arasi
Canakkale,Bozcaada,Cumhuriyet_Mah.,Satilik,6_10_arasi,Bilinmiyor,Klima,Klima,Kapali,200.0,190.0,10.0,8.0,3.0,0.0,0.0,0.0,3.0,6.0,0.0,yok,yok,yok,var,0.0,0.0,1.0,1.0,50_100_Milyon_TL_Arasi
Canakkale,Gokceada,Cumhuriyet_Mah.,Satilik,6_10_arasi,1,Klima,Klima,Acik_Amerikan,105.0,100.0,4.0,8.0,3.0,1.0,5.0,3.0,3.0,2.0,1.0,var,yok,var,yok,0.0,0.0,0.0,0.0,4_5_Milyon_TL_Arasi
Canakkale,Merkez,Kepez_Bld.,Satilik,6_10_arasi,5,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,230.0,185.0,6.0,8.0,3.0,5.0,5.0,5.0,5.0,3.0,0.0,var,var,var,yok,0.0,0.0,0.0,0.0,10_15_Milyon_TL_Arasi
Canakkale,Gokceada,Tepekoy_Koyu,Satilik,31_ve_uzeri,Bilinmiyor,Yok,Yok,Kapali,7.0,54.0,3.0,30.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,var,yok,yok,yok,0.0,1.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Gokceada,Cumhuriyet_Mah.,Satilik,5,Bahce_Kati,Kat_Kaloriferi,Kat_Kaloriferi,Acik_Amerikan,90.0,80.0,3.0,5.0,4.0,0.0,4.0,2.0,4.0,2.0,1.0,var,yok,var,var,0.0,1.0,2.0,0.0,4_5_Milyon_TL_Arasi
Canakkale,Merkez,Kepez_Bld.,Satilik,11_15_arasi,Bahce_Kati,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,105.0,90.0,3.0,13.0,2.0,0.0,4.0,4.0,5.0,1.0,0.0,var,yok,yok,yok,0.0,0.0,1.0,0.0,4_5_Milyon_TL_Arasi
Canakkale,Gokceada,Diger_Mahalle,Satilik,21_25_arasi,Mustakil,Isi_Pompasi,Isi_Pompasi,Kapali,130.0,120.0,4.0,21.0,2.0,1.0,5.0,2.0,0.0,2.0,0.0,var,yok,var,yok,0.0,1.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Gokceada,Ugurlu_Koyu,Satilik,0_Oturuma_Hazir,2,Soba,Soba,Acik_Amerikan,185.0,170.0,7.0,0.0,0.0,2.0,5.0,3.0,1.0,3.0,1.0,var,yok,var,yok,0.0,0.0,0.0,0.0,10_15_Milyon_TL_Arasi
Canakkale,Merkez,Cevat_Pasa_Mh.,Satilik,6_10_arasi,3,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,135.0,125.0,4.0,8.0,3.0,3.0,5.0,5.0,5.0,2.0,0.0,var,var,var,yok,0.0,0.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Bozcaada,Alaybey_Mh.,Satilik,0_Oturuma_Hazir,Bilinmiyor,Somine,Somine,Acik_Amerikan,300.0,290.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,var,yok,yok,yok,0.0,0.0,0.0,0.0,25_50_Milyon_TL_Arasi
Canakkale,Gokceada,Zeytinli_Koyu,Satilik,31_ve_uzeri,Bilinmiyor,Soba,Soba,Kapali,95.0,90.0,5.0,30.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,var,yok,yok,var,0.0,0.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Gokceada,Kuzulimani_Mh.,Satilik,0_Oturuma_Hazir,Bilinmiyor,Yerden_Isitma,Yerden_Isitma,Acik_Amerikan,116.0,92.0,4.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,yok,yok,var,yok,0.0,0.0,1.0,0.0,10_15_Milyon_TL_Arasi
Canakkale,Gokceada,Kuzulimani_Mh.,Satilik,6_10_arasi,1,Kat_Kaloriferi,Kat_Kaloriferi,Acik_Amerikan,120.0,100.0,4.0,8.0,3.0,1.0,5.0,2.0,4.0,2.0,1.0,var,yok,var,yok,0.0,2.0,0.0,1.0,5_7_Bucuk_Milyon_TL_Arasi
Canakkale,Gokceada,Kuzulimani_Mh.,Satilik,6_10_arasi,2,Yok,Yok,Acik_Amerikan,50.0,40.0,2.0,8.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,var,yok,var,var,0.0,0.0,0.0,1.0,2_3_Milyon_TL_Arasi
Canakkale,Merkez,Diger_Mahalle,Satilik,31_ve_uzeri,1,Kombi_Dogalgaz,Kombi_Dogalgaz,Kapali,55.0,50.0,2.0,30.0,1.0,1.0,5.0,3.0,5.0,1.0,0.0,yok,yok,yok,var,0.0,0.0,1.0,1.0,2_3_Milyon_TL_Arasi
Canakkale,Gelibolu,Yazicizade_Mh.,Satilik,26_30_arasi,3,Soba,Soba,Acik_Amerikan,90.0,85.0,3.0,30.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,var,yok,var,yok,0.0,0.0,2.0,0.0,2_3_Milyon_TL_Arasi
Canakkale,Merkez,Barbaros_Mah.,Satilik,6_10_arasi,3,Kombi_Dogalgaz,Kombi_Dogalgaz,Acik_Amerikan,150.0,140.0,6.0,8.0,3.0,3.0,5.0,3.0,5.0,2.0,1.0,var,var,var,yok,0.0,0.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Gokceada,Yeni_Mh.,Satilik,1,Bahce_Kati,Yerden_Isitma,Yerden_Isitma,Acik_Amerikan,110.0,100.0,4.0,1.0,4.0,0.0,4.0,3.0,5.0,2.0,1.0,var,yok,var,yok,0.0,0.0,0.0,0.0,4_5_Milyon_TL_Arasi
Canakkale,Gokceada,Sirinkoy_Koyu,Satilik,21_25_arasi,Bilinmiyor,Soba,Soba,Kapali,125.0,120.0,4.0,21.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,var,yok,yok,yok,0.0,0.0,0.0,0.0,7_Bucuk_10_Milyon_TL_Arasi
Canakkale,Gokceada,Fatih_Mah.,Satilik,4,3,Yerden_Isitma,Yerden_Isitma,Acik_Amerikan,103.0,78.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,2.0,1.0,var,var,var,yok,0.0,1.0,3.0,0.0,4_5_Milyon_TL_Arasi
Canakkale,Yenice,Kurtulus_Mh.,Satilik,6_10_arasi,3,Kombi_Dogalgaz,Kombi_Dogalgaz,Acik_Amerikan,135.0,125.0,4.0,8.0,3.0,3.0,5.0,3.0,5.0,2.0,1.0,var,yok,var,yok,0.0,2.0,2.0,0.0,4_5_Milyon_TL_Arasi
Canakkale,Bozcaada,Alaybey_Mh.,Satilik,6_10_arasi,Bilinmiyor,Yerden_Isitma,Yerden_Isitma,Acik_Amerikan,250.0,200.0,4.0,8.0,3.0,0.0,0.0,1.0,5.0,2.0,1.0,yok,yok,var,var,1.0,2.0,1.0,1.0,25_50_Milyon_TL_Arasi
